,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,What Happened in 2024 National Crosstabs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Composition of Voters,,,,,,,,,"Two-Way Democratic Vote Share [1,2]",,,,,,,,,,,"Three-Way Election Results [1,2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group 1,2024,2022,2020,2018,2016,2014,2012,2010,2008,"Pres
2024","Pres
2020","Pres
2016","Pres
2012","CD
2024","CD
2022","CD
2020","CD
2018","CD
2016","CD
2014","CD
2012","Pres
2024
Dem","Pres
2024
Rep","Pres
2024
Oth","Pres
2020
Dem","Pres
2020
Rep","Pres
2020
Oth","Pres
2016
Dem","Pres
2016
Rep","Pres
2016
Oth","Pres
2012
Dem","Pres
2012
Rep","Pres
2012
Oth","CD
2024
Dem","CD
2024
Rep","CD
2024
Oth","CD
2022
Dem","CD
2022
Rep","CD
2022
Oth","CD
2020
Dem","CD
2020
Rep","CD
2020
Oth","CD
2018
Dem","CD
2018
Rep","CD
2018
Oth","CD
2016
Dem","CD
2016
Rep","CD
2016
Oth","CD
2014
Dem","CD
2014
Rep","CD
2014
Oth","CD
2012
Dem","CD
2012
Rep","CD
2012
Oth",
Total,100,100,100,100,100,100,100,100,100,49,52,51,52,49,49,51,54,50,48,51,48,50,2,51,47,2,48,46,6,51,47,2,49,50,1,49,50,1,50,48,2,53,45,2,48,49,3,46,51,3,50,47,4,
Modeled Historical Republican,35,39,36,37,38,42,38,42,38,8,11,8,12,8,6,10,9,7,8,12,8,90,1,11,88,2,7,87,6,11,86,2,8,91,1,6,93,1,9,89,2,9,90,2,6,90,3,8,89,3,11,85,3,
Modeled Historical Middle,28,22,25,22,24,21,24,23,26,46,50,50,52,46,47,48,53,46,47,51,45,53,2,49,49,2,46,47,7,51,47,2,45,54,1,47,52,1,47,51,2,52,46,2,45,52,3,46,51,3,49,47,4,
Modeled Historical Democrat,37,39,39,41,39,37,38,35,36,91,92,95,93,92,94,92,95,93,93,92,90,9,2,90,8,2,89,5,6,91,7,2,91,8,1,93,6,1,90,8,2,94,5,1,91,7,2,91,7,3,88,8,4,
White,72,76,72,74,74,78,75,79,76,42,44,41,42,42,42,43,45,40,40,43,42,57,1,43,55,2,38,55,7,41,57,2,41,58,1,42,57,1,42,56,2,44,54,2,39,58,3,39,58,3,41,55,3,
Black,11,10,11,11,11,10,12,10,11,85,89,93,96,86,88,89,94,88,91,93,84,14,2,87,11,1,92,7,2,95,4,1,85,14,1,87,12,1,88,11,2,93,6,1,87,12,1,90,9,2,89,7,4,
Latino,10,8,10,9,9,6,7,6,7,54,63,70,68,57,61,64,71,66,63,63,53,45,2,62,36,2,66,28,6,66,31,3,57,43,1,60,39,1,63,35,2,70,29,1,64,33,2,61,36,3,61,36,4,
AAPI,4,4,4,3,3,3,3,3,3,61,65,70,74,62,62,65,71,68,66,70,59,38,3,64,34,3,67,28,5,71,25,4,61,38,1,62,37,1,63,35,2,70,29,2,67,32,2,64,33,3,66,29,5,
Other,3,3,3,3,3,3,3,3,3,54,59,61,58,54,56,58,64,61,58,52,52,45,4,57,40,3,57,36,7,57,40,3,54,45,1,55,43,1,56,42,2,62,35,3,60,38,2,56,41,4,50,46,5,
Gen Z / Millennials,36,26,31,23,24,13,18,10,14,54,60,61,62,54,61,59,67,58,57,60,52,45,2,58,39,3,54,34,12,60,37,3,53,46,1,60,39,1,58,40,2,66,33,2,56,40,4,55,41,4,57,39,4,
Gen X,26,26,26,25,26,23,25,22,25,47,50,51,52,47,48,49,54,49,47,51,46,53,2,49,49,2,48,46,6,51,47,3,46,53,1,47,52,1,48,50,2,53,46,2,48,49,3,46,51,3,49,47,4,
Baby Boomers,32,38,33,38,36,43,38,43,39,47,49,48,50,47,44,48,49,46,47,50,47,52,1,48,51,1,46,50,4,49,49,2,47,53,1,44,55,1,47,51,2,49,50,1,45,52,3,46,52,3,48,48,3,
Silent / Greatest,7,10,10,14,14,22,19,26,22,47,47,45,46,47,42,46,46,44,44,47,46,53,1,46,52,1,44,54,2,46,53,1,46,53,1,42,57,1,45,53,2,45,53,2,43,55,2,43,54,2,46,51,3,
18-29,15,10,16,12,15,8,15,10,17,55,61,63,62,55,65,60,68,59,58,60,54,44,2,60,38,2,55,33,12,61,37,3,55,44,1,64,35,1,59,39,2,67,31,1,57,40,4,55,40,4,58,38,4,
30-44,23,20,23,21,22,18,23,20,24,52,57,56,53,53,57,56,62,54,50,52,51,47,2,55,42,3,50,40,9,52,45,3,52,47,1,56,42,1,54,43,2,60,38,2,52,45,3,49,48,3,49,46,4,
45-64,33,37,35,38,38,43,40,44,39,46,48,48,50,46,45,47,50,46,47,50,45,53,2,48,51,2,46,50,4,49,49,2,45,54,1,45,54,1,46,52,2,49,50,1,45,52,3,45,52,3,49,48,3,
65+,29,33,26,29,25,31,23,26,20,48,49,46,47,48,44,48,48,45,45,47,48,52,1,48,51,1,45,52,3,46,53,1,47,52,1,44,56,1,47,52,2,47,51,1,44,54,2,44,54,2,46,51,3,
Non-College,59,56,62,60,63,61,66,64,68,45,48,49,51,45,45,47,50,48,46,51,44,54,2,47,51,2,46,49,5,50,48,2,45,54,1,45,54,1,46,52,2,50,49,2,46,50,3,45,52,3,49,47,4,
College,41,44,38,40,37,39,34,36,32,56,59,56,54,55,54,58,59,52,50,52,55,44,2,58,40,2,52,41,7,53,45,2,55,44,1,54,45,1,57,41,2,58,40,2,51,47,2,48,49,3,50,47,3,
Women,54,53,54,54,55,53,55,53,55,55,56,57,56,55,54,55,59,54,53,55,54,44,2,55,43,2,53,41,5,55,44,2,55,44,1,54,45,1,54,44,2,58,41,1,53,44,3,52,46,3,53,43,4,
Men,46,47,46,46,45,47,45,47,45,42,48,45,48,42,43,46,48,44,41,46,41,57,2,47,51,2,42,51,7,46,51,3,42,57,1,43,56,1,45,52,2,47,51,2,42,54,3,40,57,3,45,52,3,
White Non-College,42,42,44,44,46,47,48,50,51,36,38,36,40,36,37,36,39,37,37,42,36,63,1,37,61,2,34,60,6,39,59,2,36,63,1,36,63,1,36,62,2,39,60,2,35,61,4,36,61,3,40,56,3,
White College,30,34,28,30,28,31,27,29,25,51,54,49,47,50,49,52,53,46,44,45,50,48,1,53,45,2,45,47,8,46,52,2,50,49,1,48,51,1,51,47,2,52,46,2,45,53,3,42,55,3,44,53,3,
Black Non-College,7,6,7,7,8,7,9,7,9,86,89,94,97,86,88,90,95,89,92,93,84,14,2,88,11,1,92,6,2,96,3,1,85,14,1,87,12,1,88,10,2,94,5,1,88,10,1,91,8,2,89,6,4,
Black College,4,4,4,4,3,3,3,3,3,85,88,92,96,85,88,88,92,86,90,91,83,15,2,87,12,2,90,7,2,94,4,1,84,15,1,88,11,1,86,12,2,91,8,1,84,14,1,88,10,2,89,8,3,
Latino Non-College,7,5,7,6,6,4,5,4,5,53,63,71,69,56,59,64,71,68,64,64,52,46,2,62,36,2,67,27,5,67,30,3,56,44,1,59,40,1,62,36,2,70,28,1,67,31,2,62,35,3,62,34,4,
Latino College,4,3,3,3,3,2,2,2,2,57,64,68,64,59,63,65,70,61,61,60,55,42,2,63,35,2,63,30,7,62,35,3,59,41,1,62,36,1,64,34,2,69,29,2,59,38,3,59,37,3,58,39,4,
AAPI Non-College,2,2,2,2,2,1,2,1,2,57,63,69,72,58,61,63,67,67,64,68,55,42,3,61,36,3,65,30,4,70,27,3,58,42,1,60,39,1,62,36,2,66,32,2,65,33,2,62,35,3,65,30,4,
AAPI College,2,2,2,2,2,1,1,1,1,65,68,72,75,65,64,66,74,69,68,71,62,34,3,66,31,2,68,26,5,73,24,4,65,35,1,63,36,1,65,33,2,73,25,2,68,31,1,66,31,3,68,27,5,
Other Non-College,2,2,2,2,2,2,2,2,2,50,57,59,57,51,54,56,61,60,57,51,48,48,4,55,42,3,55,38,7,55,41,3,50,49,1,53,45,2,54,44,2,59,38,3,58,39,3,55,42,4,48,47,4,
Other College,1,1,1,1,1,1,1,1,1,58,63,64,61,59,59,61,69,63,60,54,56,40,4,61,36,3,59,33,8,59,38,3,58,41,1,58,41,1,59,39,2,67,30,3,62,36,2,58,38,4,52,43,5,
White Women,38,39,38,39,39,41,40,41,41,48,48,46,45,47,47,46,49,44,45,46,47,51,1,47,51,2,43,51,6,44,54,2,47,52,1,46,53,1,45,53,2,48,50,1,42,54,3,44,54,3,44,52,4,
White Men,34,36,34,35,35,38,35,38,35,36,40,36,39,36,37,39,40,36,34,39,36,63,1,39,59,2,33,59,8,38,60,2,35,64,1,37,62,1,38,60,2,39,59,2,35,61,4,33,64,3,38,59,3,
Black Women,6,6,7,7,7,6,7,6,7,90,90,96,97,90,91,91,96,91,93,95,88,10,2,89,10,1,94,4,2,96,3,1,89,10,1,91,9,1,89,9,2,95,4,1,90,9,1,91,7,2,92,5,3,
Black Men,4,4,4,4,4,4,5,4,5,79,86,90,95,79,83,86,92,84,88,89,77,21,2,85,13,2,88,10,2,94,4,2,79,20,1,82,17,1,85,14,2,90,8,1,82,16,2,87,12,1,84,10,5,
Latina Women,6,4,6,5,5,3,4,3,4,60,67,77,71,63,66,68,76,74,67,69,59,39,2,66,32,2,72,22,6,70,28,2,62,37,1,65,34,1,67,31,2,75,24,1,72,26,2,66,32,2,66,29,4,
Latino Men,4,4,4,4,4,3,3,3,3,47,59,61,63,50,55,59,64,56,58,55,46,52,2,57,41,2,58,37,5,60,36,4,49,50,1,54,44,1,58,41,2,63,35,2,54,43,3,56,40,4,53,44,3,
AAPI Women,2,2,2,2,2,1,2,1,1,65,69,75,76,66,68,68,74,73,70,75,63,33,3,67,31,3,71,24,5,74,24,2,66,34,1,68,31,1,67,31,2,73,26,1,72,26,1,68,29,3,72,24,5,
AAPI Men,2,2,2,2,2,1,1,1,1,55,61,64,71,56,56,61,67,61,62,63,53,43,3,60,38,3,62,34,4,68,28,5,56,43,1,55,44,1,60,38,2,66,32,2,60,38,2,59,37,4,60,35,5,
Other Women,2,2,2,2,2,1,2,1,2,59,63,67,62,60,62,62,68,67,63,59,57,39,4,62,36,3,62,31,8,61,37,2,59,40,1,62,37,1,61,37,2,66,31,2,66,32,2,61,35,3,56,39,5,
Other Men,1,1,1,1,1,1,1,1,1,47,54,54,54,48,49,53,59,54,52,43,45,51,4,53,45,3,51,43,7,51,44,5,47,52,1,48,51,2,51,46,2,57,39,4,52,45,3,50,46,4,41,54,5,
Single,46,41,45,43,44,38,44,38,43,55,59,59,61,55,57,58,63,58,57,60,54,44,2,57,41,2,55,39,6,59,39,2,54,45,1,56,43,1,57,41,2,62,36,2,56,41,3,55,42,3,58,38,4,
Married,54,60,55,57,56,62,56,62,57,45,47,45,45,45,44,46,47,43,42,44,44,55,1,46,52,2,43,51,6,45,54,2,44,55,1,43,56,1,45,53,2,46,52,2,42,56,3,41,56,3,43,54,3,
White College Men,15,17,14,15,14,16,13,15,12,45,50,43,42,44,43,48,48,41,37,40,44,55,1,49,49,2,39,51,9,41,57,3,43,56,1,43,56,1,47,51,2,47,51,2,40,57,3,36,61,3,39,58,3,
White Non-College Men,19,20,20,20,21,22,22,23,23,30,33,31,37,30,32,32,34,33,32,39,30,69,1,33,65,2,29,64,7,36,62,2,29,70,1,32,67,1,31,67,2,34,64,2,32,64,4,30,66,4,38,59,3,
White College Women,15,17,14,15,14,16,14,15,13,57,58,54,51,56,55,56,58,51,50,50,56,42,1,57,41,2,50,43,7,50,48,2,56,43,1,54,45,1,55,43,2,57,42,1,49,48,3,49,49,2,48,49,3,
White Non-College Women,23,23,23,24,25,25,26,26,28,42,42,41,42,41,40,40,43,40,42,44,41,57,1,41,57,2,39,56,5,41,57,2,41,58,1,40,59,1,39,59,2,43,56,1,39,58,3,41,56,3,42,54,4,
White 18-29,9,7,10,8,10,6,10,7,11,49,53,51,50,48,59,51,60,48,48,49,48,50,2,52,46,3,43,41,15,49,49,3,48,51,1,58,41,1,50,47,2,59,39,1,46,49,5,46,49,5,47,49,4,
White 30-44,15,14,15,14,15,13,16,15,17,47,48,44,42,46,51,47,52,44,40,42,46,52,2,47,50,3,39,50,12,40,57,3,46,53,1,51,48,1,46,52,2,50,47,2,42,54,4,39,58,3,40,56,4,
White 45-64,24,27,26,29,29,33,31,35,31,37,40,38,41,37,38,38,40,37,38,42,37,62,1,39,60,2,36,60,4,41,57,2,36,63,1,37,62,1,37,61,2,40,59,1,36,61,3,37,60,3,41,56,3,
White 65+,23,27,21,23,20,26,19,22,16,42,43,40,40,42,38,41,41,39,39,41,42,57,1,42,57,1,39,59,3,40,59,1,41,58,1,37,62,1,40,58,2,41,58,2,38,60,2,38,59,2,40,57,3,
Black 18-29,2,1,2,2,2,1,3,1,3,83,87,94,95,83,84,87,86,88,92,91,81,17,2,86,12,2,91,6,3,94,5,1,83,16,1,83,15,2,86,12,2,85,14,1,87,12,2,90,8,2,87,9,4,
Black 30-44,3,2,3,3,3,2,3,3,3,79,88,93,96,80,86,89,95,89,91,89,77,20,2,86,12,2,92,6,2,94,4,2,79,20,1,85,14,1,87,11,2,94,5,1,88,10,1,90,9,2,86,10,4,
Black 45-64,4,4,4,4,4,5,4,4,4,87,89,93,97,87,88,89,96,88,91,95,85,13,2,88,11,1,92,7,1,96,3,1,87,12,1,88,12,1,88,11,2,95,4,1,86,12,2,90,9,2,91,5,4,
Black 65+,2,3,2,2,2,2,2,2,1,91,90,93,97,92,91,91,95,88,91,96,91,9,1,89,10,1,92,7,1,97,3,1,91,8,1,90,9,1,89,9,1,95,5,0,87,12,1,90,9,1,93,3,3,
Latino 18-29,2,1,2,2,2,1,2,1,2,57,69,76,75,60,73,69,79,71,70,73,55,42,3,67,31,2,70,22,8,74,24,3,60,39,1,72,27,1,68,30,2,78,20,1,69,29,2,68,29,4,70,27,3,
Latino 30-44,3,2,3,2,2,1,2,2,2,52,63,70,64,55,62,63,75,67,63,57,50,47,3,61,36,3,66,28,7,62,34,4,54,45,1,61,37,1,62,36,2,73,25,2,65,32,2,61,36,3,55,41,4,
Latino 45-64,3,3,3,3,3,2,3,2,2,52,60,67,68,55,55,61,64,63,62,63,51,47,2,58,40,2,64,32,4,66,31,3,55,45,1,55,45,1,59,39,2,63,36,2,62,36,2,60,37,3,61,35,4,
Latino 65+,2,2,2,2,1,1,1,1,1,57,63,68,62,60,60,64,70,64,62,59,57,42,1,62,37,1,65,31,4,61,37,2,59,40,1,59,40,1,63,35,2,69,30,1,63,35,2,60,37,3,58,39,3,
AAPI 18-29,1,1,1,1,1,0,1,0,1,65,74,80,84,66,82,74,87,77,76,82,62,34,4,72,25,3,74,19,7,80,16,4,65,34,1,81,18,1,72,26,2,85,13,2,75,23,2,73,23,4,78,17,5,
AAPI 30-44,1,1,1,1,1,1,1,1,1,62,68,73,77,63,70,68,77,71,69,74,60,36,4,66,31,3,69,26,6,74,22,4,63,37,1,69,30,1,66,31,2,76,22,1,70,28,1,67,30,3,70,24,6,
AAPI 45-64,2,1,2,1,1,1,1,1,1,59,61,66,68,59,56,60,65,63,64,61,57,40,3,59,39,2,64,33,4,65,31,3,59,40,1,55,44,1,59,39,2,64,34,2,62,36,2,62,35,3,58,37,4,
AAPI 65+,1,1,1,1,1,1,0,0,0,59,60,65,71,60,55,60,60,62,63,69,58,41,2,59,39,2,63,34,4,69,29,2,59,40,1,54,45,1,59,39,2,59,40,1,61,37,1,61,36,3,67,30,3,
Other 18-29,0,0,1,0,0,0,0,0,1,55,67,70,69,56,74,65,81,69,68,64,52,43,5,65,32,3,63,27,10,67,30,4,55,44,1,73,25,2,64,34,2,78,18,4,67,30,3,64,31,5,61,34,5,
Other 30-44,1,1,1,1,1,1,1,1,1,55,63,64,63,56,63,61,71,65,61,57,52,43,5,60,36,4,59,33,9,60,36,4,55,44,1,62,37,2,59,38,2,69,28,3,64,34,2,59,37,4,54,40,6,
Other 45-64,1,1,1,1,1,1,1,1,1,52,55,58,54,53,51,54,60,58,57,45,50,46,4,54,44,2,55,39,6,52,45,3,52,47,1,50,49,1,53,45,2,57,39,4,56,41,3,55,42,3,43,53,4,
Other 65+,1,1,1,1,1,1,1,1,0,53,55,57,54,53,50,53,54,56,54,50,52,46,2,54,44,2,53,41,6,53,45,2,53,46,1,50,49,1,53,46,2,54,45,2,55,43,2,53,44,3,48,48,4,
White Single Women,17,16,17,17,17,16,18,16,18,53,53,51,52,53,53,52,57,51,52,53,53,46,2,52,46,2,48,46,6,51,48,2,52,47,1,53,46,1,51,47,2,57,42,1,49,48,3,51,47,3,51,45,4,
White Single Men,14,13,13,13,13,12,13,12,13,40,45,41,47,39,44,44,48,43,41,48,39,59,2,44,54,2,38,53,9,46,51,3,39,60,1,43,55,1,43,55,2,47,51,2,42,54,4,40,57,4,47,50,3,
White Married Women,21,23,21,22,22,25,22,24,23,44,43,41,40,43,42,42,43,38,40,40,43,56,1,43,56,2,39,56,6,40,59,2,42,57,1,42,58,1,41,57,2,42,56,1,37,60,3,39,58,3,39,58,3,
White Married Men,20,24,21,22,21,26,22,26,23,34,37,32,34,33,34,35,35,32,31,34,33,66,1,36,62,2,30,63,7,33,65,2,33,66,1,33,66,1,35,63,2,35,63,2,31,66,3,30,67,3,33,64,3,
Urban,21,18,20,20,20,17,19,19,20,67,72,75,72,68,70,72,76,73,70,72,65,33,2,71,27,2,70,24,6,70,27,3,67,32,1,70,29,1,70,27,3,74,24,2,71,26,3,68,29,3,68,27,5,
Suburban,57,59,56,56,56,56,56,55,56,50,54,51,51,50,50,52,54,48,47,50,49,49,2,53,46,2,48,46,6,50,48,2,49,50,1,49,50,1,51,47,2,53,45,1,47,50,3,46,52,3,48,48,3,
Rural,22,23,24,25,24,26,24,26,24,30,33,32,38,30,30,32,36,32,34,38,30,69,1,33,66,2,30,64,6,38,60,2,30,69,1,30,69,1,32,66,2,35,63,2,31,66,3,33,64,3,37,60,3,
Urban White,11,10,10,11,11,10,11,11,11,63,66,65,61,63,65,65,68,65,62,63,62,36,2,65,33,2,60,32,8,60,38,3,63,36,1,65,34,1,63,34,3,67,32,2,62,34,4,60,37,3,60,35,4,
Suburban White,42,45,41,42,42,45,43,45,44,44,47,42,42,44,44,45,46,41,40,42,44,55,1,46,52,2,39,54,7,41,57,2,43,56,1,43,56,1,44,54,2,46,53,2,39,58,3,39,58,3,41,56,3,
Rural White,19,20,21,21,21,23,21,23,21,26,29,27,33,26,26,28,31,27,30,33,26,73,1,28,70,2,25,69,6,32,66,2,26,73,1,26,73,1,27,71,2,30,68,2,27,70,3,29,68,3,32,65,3,
Urban Black,3,3,3,3,3,3,4,3,4,87,92,96,98,88,92,92,96,94,95,96,85,13,2,90,8,1,95,4,2,97,2,1,88,11,1,91,8,1,90,7,3,95,4,1,92,6,2,93,5,2,91,4,6,
Suburban Black,6,6,6,6,6,6,7,5,6,86,89,93,96,86,88,89,94,87,90,92,84,14,2,87,11,2,91,7,2,95,4,1,85,14,1,87,12,1,87,11,1,93,6,1,86,13,1,89,9,2,89,8,3,
Rural Black,1,1,2,2,2,2,2,2,2,80,83,88,95,79,82,83,91,81,88,90,79,20,1,82,17,1,87,11,1,94,5,1,79,20,1,81,18,1,83,16,1,90,9,1,80,19,1,86,12,2,87,10,4,
Urban Latino,4,3,4,4,4,2,3,3,3,61,71,79,76,65,70,73,79,76,74,72,59,38,2,70,28,2,75,20,5,74,23,3,64,35,1,69,30,1,71,27,2,78,21,1,74,23,3,71,25,3,69,26,5,
Suburban Latino,5,4,5,4,4,3,3,3,3,52,60,65,63,54,58,60,67,60,58,58,51,47,2,59,39,2,61,33,6,62,36,3,53,46,1,57,42,1,59,39,2,66,32,1,59,39,2,57,41,3,56,41,3,
Rural Latino,1,1,1,1,1,1,1,1,1,38,46,50,52,40,43,46,54,47,47,47,37,61,2,45,53,2,47,47,6,51,46,3,39,60,1,42,56,2,45,53,2,53,46,2,46,52,2,45,51,3,45,52,3,
Urban AAPI,2,1,2,1,1,1,1,1,1,65,71,78,80,67,69,71,77,77,74,77,63,34,3,69,29,2,74,21,5,76,20,4,67,33,1,68,31,1,70,28,2,76,22,2,75,22,2,71,26,3,73,22,5,
Suburban AAPI,2,2,2,2,2,1,1,1,1,59,63,66,70,59,59,61,68,62,62,65,57,40,3,61,36,3,63,32,5,68,29,3,58,41,1,59,40,1,60,38,2,67,32,2,61,37,1,60,37,3,63,33,4,
Rural AAPI,0,0,0,0,0,0,0,0,0,44,48,51,61,44,44,48,54,50,54,56,42,55,3,47,50,3,48,47,5,59,37,4,43,55,1,43,55,2,46,51,3,53,45,2,50,49,1,52,44,5,54,42,4,
Urban Other,1,1,1,1,1,1,1,1,1,66,74,79,74,68,72,73,80,79,75,68,63,32,5,72,26,3,73,20,7,71,25,4,67,32,1,72,27,1,71,26,2,78,19,3,77,20,3,73,24,4,64,30,6,
Suburban Other,2,2,2,2,2,1,2,1,2,53,59,60,57,53,55,57,64,59,56,50,51,45,4,57,40,3,56,37,7,55,42,3,53,46,1,54,44,1,56,42,2,62,35,3,58,40,2,54,42,3,48,48,4,
Rural Other,1,1,1,1,1,1,1,1,1,37,42,44,46,37,39,41,48,45,47,40,35,62,3,41,57,3,41,52,7,45,52,3,37,62,1,38,60,2,40,58,2,46,51,4,44,54,3,45,51,4,38,58,4,
Urban 18-29,4,2,4,3,4,2,3,2,4,68,77,82,79,70,80,77,83,79,78,78,66,31,3,75,23,2,73,16,10,77,20,3,70,30,1,79,19,1,75,23,3,82,16,2,75,20,4,74,21,4,74,21,5,
Urban 30-44,5,4,5,5,5,4,5,4,5,68,75,78,74,70,77,75,82,78,74,73,67,31,3,73,24,3,71,20,9,71,25,4,69,30,1,76,23,1,73,24,3,80,18,2,75,22,4,72,25,3,69,26,6,
Urban 45-64,7,6,7,7,7,7,7,8,7,65,69,72,71,66,67,69,72,71,70,71,63,35,2,68,30,2,69,27,4,70,28,2,65,34,1,67,33,1,67,30,2,71,27,2,68,28,3,68,30,3,68,28,5,
Urban 65+,5,5,4,5,4,5,4,4,3,66,68,69,65,67,65,68,69,68,65,66,65,34,1,68,31,1,67,30,3,64,34,1,67,33,1,64,35,1,67,31,2,68,31,1,66,31,3,64,34,3,64,32,4,
Suburban 18-29,8,6,9,7,8,5,9,5,9,56,62,62,61,55,65,61,68,57,57,59,55,43,2,61,37,2,55,33,13,60,38,2,55,44,1,64,34,1,60,38,2,67,32,1,55,42,4,55,41,4,57,40,4,
Suburban 30-44,13,12,13,12,12,10,13,11,14,53,57,55,52,53,58,56,62,52,50,50,52,46,2,56,41,3,50,41,10,50,47,3,52,47,1,57,42,1,55,43,2,60,38,2,51,46,3,48,49,3,48,48,4,
Suburban 45-64,19,22,20,22,21,24,22,25,22,47,50,48,50,47,46,48,50,45,46,49,46,52,2,49,49,2,46,50,4,49,50,2,46,53,1,46,53,1,47,51,2,50,49,1,44,53,3,45,53,2,48,49,3,
Suburban 65+,17,20,15,16,14,17,13,14,11,49,50,47,46,49,45,49,48,44,44,46,49,50,1,50,49,1,45,52,3,45,54,1,48,51,1,44,55,1,48,51,2,48,51,1,44,54,2,43,54,2,45,53,3,
Rural 18-29,3,2,3,2,3,2,3,2,3,35,40,38,45,35,43,39,47,37,40,43,34,64,2,39,59,2,33,54,13,44,53,3,34,65,1,42,56,2,38,60,2,46,52,2,35,61,4,38,57,5,41,55,4,
Rural 30-44,4,4,5,4,5,4,5,5,5,30,34,32,36,30,34,33,39,33,32,35,30,68,2,33,64,3,29,62,9,35,62,3,30,69,1,33,65,2,33,65,2,38,60,2,32,65,3,31,65,4,33,63,4,
Rural 45-64,8,9,9,10,10,12,10,12,10,27,30,30,38,26,27,29,33,30,34,38,26,73,1,30,69,2,29,67,4,37,61,2,26,73,1,27,72,1,29,69,2,32,66,2,29,67,3,32,64,3,37,60,3,
Rural 65+,7,9,7,8,7,9,6,7,5,33,34,33,38,32,29,33,35,33,35,38,32,67,1,34,65,1,32,66,3,38,62,1,32,67,1,29,70,1,33,66,2,34,64,2,32,65,2,34,63,3,37,60,3,
Female 18-29,8,5,8,7,8,4,8,5,9,63,66,69,66,63,71,65,74,64,64,65,61,36,2,65,33,2,61,28,11,65,34,2,62,37,1,70,29,1,64,34,2,73,26,1,62,35,3,61,35,4,62,34,4,
Female 30-44,12,11,12,11,12,10,12,11,13,58,60,61,57,59,62,60,66,59,56,56,57,41,2,59,39,2,56,36,8,56,42,2,58,41,1,61,37,1,58,40,2,65,33,2,57,40,3,55,42,3,54,42,4,
Female 45-64,18,19,19,20,21,22,21,23,21,52,53,53,54,52,51,51,55,51,52,54,51,48,2,52,47,2,51,45,4,53,45,2,51,48,1,50,49,1,50,48,2,54,45,1,50,48,3,51,47,2,53,44,3,
Female 65+,16,18,14,15,13,16,12,14,11,53,52,51,50,53,49,51,52,49,50,51,53,46,1,52,47,1,50,48,2,49,50,1,53,46,1,48,51,1,50,48,2,52,47,1,48,50,2,49,49,2,49,48,3,
Male 18-29,7,5,7,6,7,4,7,5,7,46,56,56,58,46,58,55,62,52,51,55,45,53,2,54,43,3,48,38,14,56,41,3,46,53,1,57,41,2,53,44,2,61,37,2,50,46,4,48,46,5,52,43,4,
Male 30-44,10,9,11,9,10,8,10,9,11,45,52,49,49,45,51,51,56,48,43,46,44,54,2,50,47,3,43,46,11,47,49,4,45,54,1,51,48,1,50,48,2,54,43,3,46,50,3,42,54,4,44,52,4,
Male 45-64,16,17,16,18,18,20,18,21,18,39,44,42,46,39,40,42,44,41,40,45,38,60,2,43,55,2,40,56,5,45,53,3,39,60,1,39,60,1,42,56,2,43,55,2,39,57,3,39,58,3,44,53,3,
Male 65+,13,15,12,13,11,14,10,12,9,42,44,41,43,41,38,43,43,40,39,43,41,58,1,43,55,1,39,57,3,43,56,1,41,58,1,38,61,1,42,56,2,42,56,2,39,58,2,38,59,3,42,55,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1] Uncontested CD election results are projected using survey data and precinct results from other elections from that year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2] Support estimates for smaller groups have larger modeling uncertainty around them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proprietary and confidential. Provided solely for informational purposes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Catalist, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,